|CROP NAME|GENERAL INFORMATION|SOIL INFORMATION
131| SHATAVARI   |Shatavari is known as the most innocent herb which contains wide range of benefits for human body. It derives its named “Shatavari” as a woman possessing hundred husbands. It is a rejuvenate herb and roots are used about 500tonnes in India every year for the production of medicines. Drugs prepared from Shatavari is used to treat gastric ulcers, dyspepsia and for nervous disorders. It is a shrub with average height of 1-3m with fascicle or clustered roots. Flowers are branched and are 3cm long. Perianth is white with good fragrance and 3mm long. Anthers are purple and berry is purple reddish in color. It is found in Africa, Sri Lanka, China, India and the Himalayas. In India it is found in Arunachal Pradesh, Assam, Chhattisgarh, Delhi, Gujarat, Haryana, Himachal Pradesh, Jharkhand, Kerala and Punjab.|It is grown in variety of soils such as red loamy to clayey soil, black soil to laterite soil having good drainage system. It can also grow under rocky and shallow soils having soil depth not more than 20-30cm. It gives best result in sandy loam to medium black soil having good drainage system and pH ranging from 6-8 ranges best for plant growth.
132| STEVIA   |Stevia is also known as ‘honey plant’ because it is sweeter in taste. It is a natural sweetener which is given mainly to diabetic patient to balance insulin in their body. Its leaves are used for preparing various drugs. Drugs prepared from Stevia are used for treatment of diabetes, reduces tooth cavity, tonics, reduces calories from food etc. It is a perennial herb with average height of 60-70cm. Leaves are oppositely arranged and are green in color. Flowers are small and white in color. Punjab, Chhattisgarh, Karnataka, Maharashtra, Madhya Pradesh and Andhra Pradesh are major Stevia growing states in India.|It is grown in wide variety of soils. It gives best result when sown in sandy loam to loamy soil with good drainage system and high organic content. Avoid cultivation in saline soils as it is harmful for the Stevia. The pH ranging from 6-8 is best for plant growth.
133| SWEET FLAG   |It is the most popular known medicinal plant which is used for many Ayurveda drugs in India. It is a semi aquatic plant and is cultivated in damp and marshy places. It is found in Holland, North America, most of the European countries, Central Asia, India and Burma. In India it is found in Manipur, Himalayas and Naga hills and on the edges of lakes and streams. The leaves have sword shape and are yellowish green in color. Plant size is big i.e. 2m tall. Flowers are cylindrical in shape and are greenish brown in color. The rhizomes of the plant is used to cure various diseases such as sedative, stomachic, aromatic , insecticidal, anti-inflammatory, aphrodisiac, antipyretic, insecticidal, carminative and many other diseases.|It gives best result when grown in sandy, clayey and alluvial soil of river banks. It requires the pH ranging from 5 to 7.
134| TULSI    |The botanical name of Tulsi is Ocimum sanctum. Tulsi is a domestic plant and is grown widely in India. It is also known by its different names at different places like Holy Basil in English, Thulasi in Tamil, Tulasi in Punjabi, Imli in Urdu etc. Tulsi is worshipped by people. Tulsi is known for its medicinal values, antimicrobial and antiviral properties which helps in purifying the air. Drugs obtained from Tulsi are used to cure stress, fever, decreases inflammation and increases stamina. It is an annual shrub with average height of 2 to 4 feet. Flowers are small and purple in color. It is found throughout in India but in MP it is found commonly.|It is grown in vast array of soil. Avoid cultivation in highly saline, alkaline or water logged conditions are not good for its yield. It gives best result when grown under well drained soil with good organic matter. Soil ranging from pH 5.5-7 suits best for its growth.
135| TULSI    ||
136| TULSI    ||
137| TULSI    ||
138| TULSI    ||
139| ||
140| ASH GOURD   |"Ash gourd also known as white gourd, winter melon or fuzzy melon. It is native from Southeast Asia. It is a rich source of Fat, protein, carbohydrates and fibre. Ash gourd have several medicine properties. As it contain low calories, it is good for diabetic patients. It is used to treat constipation, acidity and to kill intestinal worms. Popular ""Petha"" is made from Ash gourd."|It can grow on variety of soils but gives best results when grown on sandy loam soils. Ideal pH range of soil is about 6 to 6.5.
141| BITTER GOURD   |Another name of Bitter gourd is “bitter melon” and is also known as “Karela” in Hindi. The botanical name of bitter gourd is Memordica charantia and it belongs to the family of “Cucurbitaceae”. It is popularly known for its medicinal, nutritional and other excellent health benefits. Because of its high demand in the market, bitter gourd farming is done very successful. Bitter gourd is mainly used for making juice and for culinary purpose. It is a rich source of Vitamin B1, B2 and B3, C, beta-carotene, zinc, iron, phosphorus, potassium, manganese, folate and calcium. It has health benefits such as it helps in preventing blood disorders, detoxifies blood and liver, boosts immune system and helps in weight control.   |Sandy loam soil which is rich in organic content and has good drainage system is ideal for the bitter gourd cultivation. The pH of the soil ranging from 6.5-7.5 is best for bitter gourd farming. 
142| BOTTLE GOURD  |Bottle gourd is also known as “Calabash” or “lauki” and it belongs to family “Cucurbitaceae”. It is an annual climbing vine which has vigorous growth. The plant bears white color flowers which bears fleshy and bottle shaped fruits. The fruit is used for cooking purpose. There are also health benefits of bottle gourd. It helps in better digestion, reduces sugar level and constipation, cures insomnia and urinary infections and is good remedy for treating insomnia.|It is grown in variety of soils. It gives best result when grown in sandy loam to loamy soil.
143| BRINJAL   |Brinjal (Solenum melongena) belongs to family Solanaceae, considered  native to India and is a widely grown vegetable in Asian countries. Also  popular in other countries like Egypt, France, Italy and United States.  Brinjal is a hardy crop than other vegetables. Due to its hardness, it  can be successfully grown in dry area with low irrigation facilities. It  is moderate source of Vitamins and minerals. It can grow throughout the  year. India is second largest producer of Brinjal after China. In India  major brinjal growing states are West Bengal, Orissa, Karnataka, Bihar,  Maharashtra, Uttar Pradesh, and Andhra Pradesh.|Brinjal is a hardy crop so it can be grown on different type of soils.  As it is a long duration crop, it requires well drained fertile sandy  loam soil which is best suited for its cultivation and gives good yield. For  early crop light soil are good and for high yield clay loam, silt loam  are suitable. For good growth pH of soil should be 5.5 to 6.6.
144| BROCCOLI  |In India, broccoli farming is a boom for the rural economy. It is a cool season crop and can be grown in spring season. It is a rich source of nutrition such as iron, calcium and vitamins. The crop contains 3.3% of protein content and high content of Vitamin A and C. It also contains substantial amount of riboflavin, niacin and thiamine and also contains high concentration of carotenoids. It is mainly used for salad purpose and can be eaten by lightly steaming it. It is mainly marketed fresh, frozen or as a salad. |For vigorous and proper growth, broccoli requires moist soil. Well drained soil which contains good fertilizer content is ideal for broccoli farming. pH having 5.0-6.5 is optimum for broccoli cultivation.
145| CABBAGE   |It is leafy green or purple plant grown as annual vegetable crop. These are rich source of vitamin A and C also it contains minerals like phosphorus, potassium, calcium, sodium and iron. Cabbage can be eaten as raw as well as in cook form. In India, cabbage is grown mainly in winter in the plains region.|It can be grown on wide range of soil, but gives best result when grown on  well drained loamy soil having good moisture holding capacity. pH of  soil should be in range of 5.5 to 6.5. It cannot thrives well in highly  acidic soils.
146| ||
147| CARROT   |"Carrot ""annual"" or ""biannual"" herb belongs to family of Umbelliferae and it is native of ""Europe"". It is a great source of Vitamin A. Carrot is major vegetable crop of India. Haryana, Andhra Pradesh, Karnataka, Punjab and Uttar Pradesh are major carrot growing states."|For good root development carrot required deep, loose loamy soils. Heavy soils as well as very loose soils are not suitable for carrot cultivation. For optimum yield pH of soil should be in range of 5.5 to 7 (pH of 6.5 is ideal for good yield).
148| CAULIFLOWER   |Cauliflower is popular vegetable and this belongs to family Cruciferous. It work as anti-cancer agent. It promotes heart health, lower cholesterol levels. The major cauliflower producing states are Bihar, Uttar Pradesh, Orissa, West Bengal, Assam, Haryana and Maharashtra.|It can grow well in wide range of soil from sandy loam to clay. For late sown variety, clay loam soils are preferred and for early maturing varieties sandy loam soil is recommended. pH of soil should be in range of 6 to 7. Add lime in case of low pH soil.
149| CELERY   |The botanical name of celery is Apium graveolens and is also known as Karnauli. It is also known for its medicinal properties. Celery is used to cure joint pain, headache, nervousness, gout, weight loss, blood purification etc. It is rich in vitamin C, vitamin K, vitamin B6, folate and potassium. It is an herbaceous plant with average height of stalk is about 10-14 inches and has white color flowers. Stems are light green in color having leaves attached with stem which is 7-18 cm long. Leaves bear flowers which is greenish white in color that bears fruit which later becomes seeds which are 1-2 mm in length and are greenish brown in color. It is used in making stews, salads and soups. It is found mainly in Mediterranean area, mountainous parts of Southern Asia, marshes of Europe and North Africa and in some parts of India. Ladhwa and Saharanpur districts of western Uttar Pradesh, Haryana and Amritsar, Gurdaspur and Jalandhar districts of Punjab are major Celery growing states in India.|It is grown in variety of soils ranging from Sandy loam to clay, black soil and red soil having proper drainage. It gives best result when grown under loamy soil rich in organic matter. Avoid cultivation in waterlogged soils, alkali and saline soils. It requires soil pH of more than 5.6 for its good growth. 
150| CHILLY    |"It is known as the most valuable crop of India. It is used as a principle ingredient of various curries and chutneys, also used in vegetables, spices, condiments, sauces and pickles. Pungency in chillies is due to the active constituent ""Capsaicin"", an alkaloid. The native home of chilli is considered to be Mexico with secondary origin of Guatemala. Chilli was introduced in India by the Portuguese in Goa in the middle of 17th century and since then it had rapidly spread throughout the country. Capsaicin has many medicinal properties, especially as an anti-cancerous agent and instant pain reliever. It also prevents heart diseases by dilating blood vessels. Major chilli growing countries are India, China, Pakistan, Indonesia, Korea, Turkey and Sri Lanka in Asia; Nigeria, Ghana, Tunisia and Egypt in Africa; Mexico, United States of America in North & Central America; Yugoslavia, Spain, Romania, Bulgaria, Italy and Hungary in Europe and Argentina, Peru and Brazil in South America. India is the world leader in chilli production followed by China & Pakistan. Andhra Pradesh, Maharashtra, Karnataka, Orissa, Tamil Nadu, Bihar, UP and Rajasthan are the main chilly growing states."|Chilli is grown in many types of soils-sandy to heavy clay. A  well-drained, fairly light fertile loam with a fair moisture holding  capacity is ideal. The light soils produce better quality fruits than  heavy soils. Chilli crop prefers a soil reaction ranging from pH 6–7.
151| CUCUMBER   |The botanical name of cucumber is Cucumis sativus. Cucumbers are originated in India. It is a climbing plant which is used as summer vegetable throughout in India. The cucumber fruit is eaten raw or is served as a salad or cooked as a vegetable. The seeds of cucumber are used for oil extraction which is good for body and brain. Cucumbers contain 96% water which is good in summer season. The plants are large sized, leaves are hairy and are triangular in shape and flowers are yellow in color. Cucumber is an excellent source of Mb (Molybdenum) and Vitamin K. Cucumber is used to cure skin problems, kidney and heart problems and is used as alkalizer.|﻿It can be sown in variety of soils ranging from sandy loam to heavy soil. But a loamy soil which is rich in organic matter and has well drainage system is best for the cucumber farming. The pH ranging from 6-7 is suited best for cucumber farming.
152| GARLIC   |Garlic is a native of Southern Europe and a popular bulb crop cultivated  throughout Asia. It is used as spice in many dishes. It has excellent  medicinal properties. It is rich source of Protein, Phosphorus,  Potassium etc. It helps in digestion; also it reduces cholesterol in  human blood. Major Garlic producing states are Madhya Pradesh, Gujarat,  Rajasthan, Orissa, Uttar Pradesh, Maharashtra, Punjab and Haryana.|It can be cultivated on various soil types. It gives best result when grown  in sandy loam and silt loam soils rich in organic matter. Loose and  sandy soils are not suitable for cultivation as bulb produce in such  soil are deformed with less keeping quality. pH of soil should be 6 to  7.
153| KHARIF ONION (PYAZ)   |Onion is most widely cultivated popular vegetable species. It is used for culinary purpose also it has several non-culinary use like it is used as Moth repellent because of its pungent juice, it is used to polish glass and copperware, onion concentrated water can be spray on plants to increased plants pest resistance. India ranks first in term of area and second in production after China.|It can cultivate on various soil type such as sandy loam, clay loam silt loam and heavy soils. It gives best result when grown in deep loam and alluvial soils with good drainage, moisture holding capacity and sufficient organic matter. Loose and sandy soils are not suitable for cultivation as bulb produce in such soil are deformed with less keeping quality. pH of soil should be 6 to 7.
154| LETTUCE   |Lettuce belongs to family of Asteraceae. It is also called as Salad crops as it is consumed in uncooked form. Because of its diet and medicinal values, its demand is increasing rapidly. It is mostly grown for leaves purpose but sometime it is cultivated for seed and stem purpose. It is good source of Vitamin K and chlorophyll. Among different types of lettuce, loose leaf is considered as best as it contain high amount of iron and vitamin A and C. China is a top producer of Lettuce in world.|It can grow on variety of soils but it gives good result when grown on sandy loam and silt loam soils. Also soils should be rich in nitrogen, potassium also rich in organic matter content. For good growth, ideal pH of soil should be in range of 6 to 6.8. Avoid waterlogged, acidic soils for cultivation.
155| LONG MELON   |Long melon is popularly known as “Kakri”. It belongs to the family of cucurbitaceae and its botanical name is Cucumis melo. It is native to India. It has light green color fruits having smooth skin and white flesh. It is mainly eaten raw as a salad with salt and pepper. The fruit contains cooling effect therefore it is mainly eaten in summer season.|It is grown in variety of soil types ranging from sandy loam to heavy soil having good drainage system. The pH of soil 5.8-7.5 is good for crop cultivation.
156| MUSHROOM  |Mushroom is a rich source of protein, vitamins, folic acid also good source of iron. It is highly suitable for heart and diabetes patients. Its cultivation is practiced worldwide for more than 200years. In India, in recent years its commercial cultivation has started. It is cultivated in Uttar Pradesh, Haryana, Rajasthan, Himachal Pradesh and J & K. Mushroom farming can be done by any one i.e. house wife, retired person etc. as space requirement is low. Cultivation of Dhingri mushroom is very simple and can be done with less investment that’s why its cultivation is popular and increasing day by day in Rajasthan.   |Mushroom cultivation can be done inside in well ventilated room, shed, basement, garage etc. Paddy straw mushroom can be grown outside in shady places.
157| OKRA   |Okra or Ladies Finger is an annual plant belongs to the family  Malvaceae. The place of origin is Ethiopia, it is mainly grown  in  tropical and sub-tropical regions. The major growing states in India are  Uttar Pradesh, Bihar, West Bengal and Orissa. Okra is mainly grown for  its green tender nutritive fruits. Dry fruits and skin are useful in  paper industry and fibre extraction. Okra is rich source of vitamins,  protein, calcium and other minerals.|Okra can be cultivated in wide range of soil. The ideal soil for okra  cultivation is sandy loam to clay loam with rich organic matter and  better drainage facility. If proper drainage is available it can grow  well in heavy soils. The pH of soil should be 6.0 to 6.5. Do not  cultivate crop in alkaline, saline soils also in poor drainage capacity  soils.
158| PEAS   |It belongs to Leguminaceae family. It is a cool season crop grown  throughout the world. Green pods are used for vegetable purpose and  dried peas are used as pulse. In India it is cultivated in Himachal  Pradesh, Madhya Pradesh, Rajasthan, Maharashtra, Punjab, Haryana,  Karnataka and Bihar. It is rich source of proteins, amino acids and  sugars. Green peas straw is good source of nutritional fodder for  livestock.|It can grow on various soil types from sandy loam to clay soils. It gives  best results when grown under well drained soil with pH range of 6 to  7.5. Crop cannot withstand in water logging conditions. For acidic soil,  do limming.
159| POTATO   |Potato is most important food crop of the world. It is economical crop and referred as Poor man friend. Its origin is in South America. It is rich source of starch and vitamin. It is used as vegetable also used for making of chips. It is used for several industrial purposes for production of starch and alcohol. Potato is grown almost in all states. Uttar Pradesh, West Bengal, Punjab, Karnataka, Assam and Madhya Pradesh are major potato growing states. In Punjab, Jalandhar, Hoshiarpur, Ludhiana and Patiala are major potato producing belts.|It can grow on wide range of soil, ranging from sandy loam, silt loam,  loam and clay soils. It gives best yield when grown under well drained  sandy loam and medium loam soils with rich in organic content. They can  grow in acidic soil. It cannot grow under waterlogged soil also saline,  alkaline soils are not suitable for potato cultivation.
160| PUMPKIN   |"It is a popular vegetable crop in India which is grown in rainy season. It is also known as ""HalwaKaddu” or “Kaddu” in hindi and it belongs to cucurbitaceae family. India is the second largest producer of pumpkin. It is used for cooking purpose and is used to make sweets. It is good source of Vitamin A and potassium. Pumpkin helps to boost eye vision, lowers blood pressure and has antioxidant properties. Its leaves, young stems, fruit juice and flowers contain medicinal properties."|It requires loamy soil having good drainage system and is rich in organic matter. Soil pH of 6-7 is optimum for pumpkin cultivation.
161| RABI ONION (PYAZ)   |Onion is most widely cultivated popular vegetable species. It is used for culinary purpose also it has several non-culinary use like it is used as Moth repellent because of its pungent juice, it is used to polish glass and copperware, onion concentrated water can be spray on plants to increased plants pest resistance. India ranks first in term of area and second in production after China.|It can be cultivated on various soil types such as sandy loam, clay loam silt loam and heavy soils. It gives best result when grown in deep loam and alluvial soils with good drainage, moisture holding capacity and sufficient organic matter. Loose and sandy soils are not suitable for cultivation as bulb produce in such soil are deformed with less keeping quality. pH of soil should be 6 to 7.
162| RADISH   |"Radish, edible root vegetable belongs to family of ""Cruciferae"" and its origin is in Mediterranean. It is crop of tropical and temperate region. It is a quick growing annual or biannual herb. Its edible roots are having different color from white to red. West Bengal, Bihar, Uttar Pradesh, Karnataka, Punjab and Assam are major radish growing states. Radish is good source of vitamin B6, Calcium, copper, magnesium and riboflavin. Also it is rich in ascorbic acid, folic acid and potassium."|It can be grown on all type of soils but give best result when grown on light friable, sandy loam soil. Avoid heavy or compact soils as it produce rough, malformed roots. Ideal pH of soil for good growth is 5.5 to 6.8
163| SPINACH   |"Spinach belongs to family of ""Amaranthaceae"" and it is native of central and western Asia. It is perennial vegetable and cultivated throughout the world. Spinach is also known as ""Palak"" in Hindi. It is a rich source of iron, vitamin and anti-oxidants. It has many health benefits. It helps to increases immunity. It is good for digestion, also good for skin, hair, eyes and for brain health. It has anti-cancer and anti-ageing property. Andhra Pradesh, Telangana, Kerala, Tamil Nadu, Uttar Pradesh, Karnataka, Maharashtra, West Bengal and Gujarat are leading producing states of spinach in India."|It can be grown on any type of soil having good drainage capacity. But it give good result when grown on sandy loam and alluvial soil. Avoid acidic soils also water logged soils for spinach cultivation. pH of soil should be in range of 6 to 7.  
164| SPONGE GOURD    |It is also known as “Luffa” sponge gourd. The vines of sponge gourd attain the height of 30 feet or more. The fruits of sponge gourd are cylindrical in shape and outer skin is smooth green. The fruit contains white inner flesh which is fibrous and have similar flavor to bitter melon. The fruit attains the height of 1-2 feet. Fully ripened sponge gourd contains high fiber content which is used as cleansing agent and for making table mats, shoe-soles etc. It is a good source of Vitamin A and C. It is used to cure jaundice, diabetes, to purify blood, and is used to cure skin diseases. In India it is grown in Punjab, Bihar, U.P., Delhi, Gujarat, Haryana, Rajasthan and Jharkhand.|It is grown in variety of soil types. It gives best result when grown in sandy loam soil. The pH value of soil ranges from 6.5-7.0 or neutral to slightly alkaline soil is good for plantation.
165| SQUASH MELON   |"Squash Melon is also known as round melon, round gourd, and Indian squash. It is important summer vegetable of north India. In Punjab it is called as ""tinda"".  Squash Melon origin is present in India. It belongs to family of Cucurbitaceae. Its raw fruits are used for vegetable purpose. 100gm of immature fruits contains Proteins@1.4%, fat@0.4%, carbohydrates@3.4%, carotene@13mg and vitamin@18mg. Fruits also possess medicinal property, they are used against dry cough and also for improving blood circulation. "|For good growth and yield it required well drained, rich organic matter contained sandy loam soils. pH of soil in range of 6 to 7 is ideal for optimum growth of crop. It also gives good results when grown on lands having water table near to soil. 
166| SUMMER SQUASH  |It is a warm season crop and is an herbaceous annual vine. Its fruits come in variety of shape, size and color. The crop belongs to the family of Cucurbitaceae. It is a rich source of Vitamin A, calcium and phosphorus. It can be grown in polyhouse, greenhouse and shade net house. It also has health benefits such as it helps managing diabetes, good for asthma patients, heart patients, eyes and skin diseases and for bone health. It has antimicrobial, antiseptic and antifungal properties.  |It is grown in variety of soils ranging from sandy loam to loamy soil are ideal for summer squash farming. The pH soil ranging from 5.5-6.5 is optimum for summer squash farming. 
167| SWEET POTATO    |The botanical name of Sweet potato is Ipomoea batatas. This crop is mainly grown because of its sweet taste and starchy roots. The tubers are rich source of beta-carotene and are used as anti-oxidants. It is an herbaceous perennial vine having lobed or heart shaped leaves. Its tubers are edible, smooth skin, tapered and long. It has wide color range of tuber skin i.e. purple, brown, white and purple which contains wide range of flesh i.e. yellow, orange, white and purple. In India about 2 lakh of land is under cultivation of sweet potatoes. In Bihar, West Bengal, Uttar Pradesh and Orissa are the major growing states in India.|It is grown in variety of soil types ranging from sandy to loamy soil, but it gives best result when grown under sandy loam soil having high fertility and good drainage system. Avoid cultivation of sweet potato in very light sandy and heavy clayey soil as it is not good for tuber development. It requires pH ranging from 5.8-6.7 is best for sweet potato cultivation.
168| TOMATO    |Tomato is originated in Peru of South America. It is important commercial vegetable crop of India. It is the second most important crop of world after potato. Fruits are eaten raw or in cooked form. It is rich source of vitamin A, C, potassium and minerals. It is used in soup, juice and ketch up, powder. The major tomato producing states are Bihar, Karnataka, Uttar Pradesh, Orissa, Maharashtra, Andhra Pradesh, Madhya Pradesh and West Bengal. In Punjab state, Amritsar, Ropar, Jalandhar, Hoshiarpur are tomato growing districts.|It can be grown in varied type of soil ranging from sandy loam to clay, black soil and red soil having proper drainage. It gives best result when grown under well drained sandy soil with high organic content. For good growth pH of soil should be 7-8.5. It can tolerate moderate acidic and saline soil. Avoid cultivation in high acidic soils. For early crops, light soil is beneficial where for heavy yields clay loam and silt-loam soils are useful.
169| TURNIP   |It is hardy cool weather crop belongs to family of Brassicaceae. It is grown for its roots as well as for green leaves. Turnip root is rich source of Vitamin C where as its leaves are rich source of Vitamin A, Vitamin C, Vitamin K, foliate and Calcium. It is grown in temperate, tropical as well as sub-tropical region of India. Commonly grown turnip is of white color. Bihar, Punjab, Haryana, Himachal Pradesh and Tamil Nadu are major turnip growing states in India.|It can be grown on variety of soil but turnip give best result when grown on loamy soils rich in organic matter. Avoid heavy or compact soils also very light soils as it produce rough, malformed roots. Ideal pH of soil for good growth is 5.5 to 6.8.
170| TURNIP   ||
